"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SUG-20","Sugartown","Schema ERD Sanity Hybrid (Option C)","Upgrade ERD from code-driven page (EPIC-0172) to a `schemaErdSection` type embeddable via section builder. Component unchanged — adds schema, GROQ projection, and PageSections case.

**Epic doc:** `docs/backlog/SUG-20-schema-erd-sanity-hybrid.md`","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","Content, Schema, CMS, Sanity",,,,,"2026-03-17T12:33:18.171Z","2026-08-09T11:00:43.829Z",,,"2026-05-13T10:45:38.823Z",,,,,"",,,,"bd915c50-7f92-4f3b-823e-0495f6af83bb",135392,"SUG-114",,
"SUG-21","Sugartown","Pink Moon — runtime theme toggle & polish","## Context

Pink Moon is evolving from a theme variant into the primary design system identity. The current scope of this issue has expanded significantly based on design exploration work done in April 2026.

### Working documents (local drafts, not committed)

* **Pink Moon Manifesto** — `docs/drafts/pink-moon-manifesto.md` — visual philosophy, stained glass principle, academic interface patterns, component evolution plan, migration path (Classic → Pink Moon)
* **Anti-Slop Manifesto** — `docs/drafts/ai-slop-manifesto.md` — design governance: what AI-generated slop looks like, where Sugartown passes/fails, anti-slop tests to build into the system
* **Pink Moon HTML Mock** — `docs/drafts/pink-moon-mock.html` — standalone interactive mock demonstrating hero (frosted panel), cards, chips (zero-radius, colour-matched glow), buttons (solid bright colours), dark header/footer, light/dark toggle
* **DS Documentation Audit** — complete inventory of all design system docs with canonicality ranking and consolidation recommendations

### Key decisions (from manifesto, pending PRD update)

* **Pink Moon Light is the default mode** — the library metaphor is a lit room
* **Classic dark/light modes deprecated iteratively** — Pink Moon Light + Dark become the only two modes
* **Stained glass, not glassmorphism** — colour is structural signal held in a neutral grid, not blurred cards on gradients
* **Academic interface** — citations, marginalia, indexes, glossaries, figure captions, colophon footers
* **WCAG AA built in** — maroon headings on light (not pink), frosted panel heroes (not text-over-image), colour-matched chip contrast
* **Density through progressive disclosure** — accordion metadata, card density modes, archive index view, margin columns

### Scope (final specs TBD — will be an updated PRD)

1. **Token convergence** — reconcile Pink Moon Light and Light Classic token differences
2. **Default mode flip** — Pink Moon Light becomes the default
3. **Component Pink Moon overrides** — Card, Chip, Accordion (high priority); Callout, CodeBlock, FilterBar (medium); Table, Media, ContentNav, Citation, Blockquote (low)
4. **Runtime toggle** — simplified to 2 modes (was 4)
5. **Storybook stories** — all components × both Pink Moon modes
6. **Classic deprecation** — behind a settings toggle during transition

### Related

* SUG-47 — Storybook/Studio props alignment audit (backlog)
* SUG-45 — Storybook argTypes audit (done — controls now exist for all components)

---

*Original scope (superseded): Wire Pink Moon variants into theme switcher UI, add Storybook stories for all 4 theme combinations, polish visual regressions under the glass aesthetic.*","Done",,"Low",,,"bex@sugartown.io","bex@sugartown.io","Design System, UX",,,,,"2026-03-17T12:33:22.134Z","2026-08-09T10:56:21.361Z","2026-04-08T12:09:12.036Z",,"2026-04-08T16:29:16.313Z",,,,,"",,,,"0ca375fd-4feb-4360-8e1f-5d88ca6a7751",185448,"SUG-38",,
"SUG-23","Sugartown","Connect GitHub repo to Netlify for deploy previews","Link the GitHub repo to Netlify's GitHub integration so PRs get automatic deploy preview URLs (`deploy-preview-{n}--{site}.netlify.app`).\\n\\nVerify: `netlify.toml` build settings already committed (base: `apps/web`, command: `pnpm build`, publish: `apps/web/dist`).","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","",,,,,"2026-03-17T12:38:47.114Z","2026-08-09T10:54:21.849Z",,,"2026-03-17T13:36:54.781Z",,,,"SUG-5","",,,,"609ca092-1ab9-4b7c-b337-baaa0b2075dc",217300,,,
"SUG-24","Sugartown","Set up Sanity webhook → Netlify build hook","1. Create a Netlify build hook URL in site settings\\n2. In Sanity manage (project `poalmzla`, dataset `production`), add an outgoing webhook pointing at the Netlify build hook\\n3. Filter to `redirect` document type changes to avoid burning build minutes on every content edit\\n\\nRef: `docs/reports/hosting-evaluation.md` — risk note on 300 build min/month free tier.","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","Sanity",,,,,"2026-03-17T12:38:50.952Z","2026-08-09T11:00:43.778Z","2026-03-17T13:31:58.126Z",,"2026-03-20T17:16:13.714Z",,,,"SUG-5","",,,,"f77e9a2d-2a76-4513-a8ac-b4c0cc8f50f4",212761,,,
"SUG-25","Sugartown","Configure sugartown.io custom domain in Netlify","Add `sugartown.io` as a custom domain in Netlify dashboard. Netlify will provision TLS (Let's Encrypt) automatically once DNS is pointed.\\n\\nDecision: use Netlify DNS (delegate nameservers) or keep existing DNS provider and add a CNAME record.","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","",,,,,"2026-03-17T12:38:54.637Z","2026-08-09T10:54:21.777Z","2026-03-20T13:28:39.944Z",,"2026-03-20T17:16:14.945Z",,,,"SUG-5","",,,,"656cd09c-dd54-4e5a-b9d7-5fa2095d2a24",212761,,,
"SUG-26","Sugartown","Execute DNS cutover — point sugartown.io to Netlify","The actual cutover:\\n1. Update DNS records (nameservers or CNAME) to point at Netlify\\n2. Verify TLS certificate provisioned\\n3. Verify `_redirects` working (spot-check 5 legacy WordPress URLs)\\n4. Verify SPA deep-linking works (`/articles/some-slug` loads correctly)\\n5. Verify deploy preview still works on an open PR\\n\\n**This is the point of no return** — WordPress stops being the live site.","Done",,"Urgent",,,"bex@sugartown.io","bex@sugartown.io","",,,,,"2026-03-17T12:38:58.452Z","2026-08-09T10:54:21.382Z","2026-03-20T15:05:33.194Z",,"2026-03-20T17:16:16.157Z",,,,"SUG-5","",,,,"3d6ab906-cba0-4475-952c-ae6dadb048c9",212761,,,
"SUG-27","Sugartown","Post-cutover smoke test & monitoring","24-48 hours after cutover:\\n- Monitor Netlify analytics for 4xx/5xx errors\\n- Check Google Search Console for crawl errors on previously indexed URLs\\n- Verify Sanity webhook rebuild triggers correctly on a test redirect change\\n- Confirm no mixed-content warnings (all assets served over HTTPS)","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","",,,,,"2026-03-17T12:39:01.683Z","2026-08-09T10:54:21.747Z","2026-03-20T13:28:40.005Z",,"2026-03-20T17:16:17.512Z",,,,"SUG-5","",,,,"4e9c210e-5ef2-4289-9f49-81767961fc37",212761,,,
"SUG-28","Sugartown","curl -X POST -d {} https://api.netlify.com/build_hooks/69bd4dae4ab084111b6e570b","","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","",,,,,"2026-03-20T14:42:10.340Z","2026-08-09T10:54:21.913Z",,,"2026-03-20T14:43:17.693Z",,,,"SUG-24","",,,,"a23a2580-965e-4abf-96af-b717db273f0e",212914,,,
"SUG-29","Sugartown","https://api.netlify.com/build_hooks/69bd4dae4ab084111b6e570b","","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","",,,,,"2026-03-20T14:42:37.305Z","2026-08-09T10:54:21.882Z",,,"2026-03-20T14:43:13.746Z",,,,"SUG-24","",,,,"38b37259-f324-4f6f-947d-5d61e73b2d25",212914,,,
"SUG-30","Sugartown","Image Treatment Pipeline & Gallery Layouts","Fix broken image overlay treatments and implement missing gallery layouts. Six root causes identified:

1. **GROQ projection gap** — `imageGallery` projections omit `overlay` sub-object; overlay data never reaches frontend
2. **Media adapter ↔ schema mismatch** — `Media.jsx` expects `duotone` but schema stores `duotone-standard` etc.
3. **Missing carousel implementation** — `ImageGallerySection` renders flat grid regardless of `layout` value
4. **Missing masonry implementation** — same; masonry layout value ignored
5. **Hero lacks treatment controls** — no `imageTreatment` or `eyebrow` field in `hero.ts`
6. `richImage.linkUrl` is bare URL — needs upgrade to `linkItem` for SPA navigation + lightbox fallback

**Epic doc:** `docs/backlog/SUG-30-image-treatments-gallery.md`","Done",,"Urgent",,,"bex@sugartown.io","bex@sugartown.io","Schema, Design System",,,,,"2026-03-22T09:47:46.840Z","2026-08-09T10:56:16.837Z","2026-03-22T22:30:22.526Z",,"2026-03-24T14:01:08.512Z",,,,,"",,,,"dcf51e21-32bd-4df6-abf7-f08a371668b2",207196,,,
"SUG-31","Sugartown","Image Asset Pipeline: Rename, Migrate & Convention Enforcement","Establish a naming convention for all image assets, migrate existing Sanity-hosted images to follow it, and import legacy WordPress media library assets into Sanity with consistent names.","Done",,"Medium",,,"bex@sugartown.io","bex@sugartown.io","Epic, Media, CMS",,,,,"2026-03-23T12:27:21.114Z","2026-08-09T10:58:10.515Z",,,"2026-03-25T11:04:50.747Z",,,,,"",,,,"01cae7c5-f16d-44f6-97c0-3f0024c1aae5",205932,"SUG-32",,
"SUG-32","Sugartown","WordPress Media Library Import & Asset Mapping","Import legacy WordPress media library assets from [beckyhead.com](<http://beckyhead.com>) into Sanity, apply naming convention, and map images to existing Sanity documents (case studies, articles, about page, etc.).

**Deferred from:** SUG-31 (Phase 2)
**Legacy WP site:** [beckyhead.com](<http://beckyhead.com>)
**Epic doc:** `docs/backlog/SUG-32-wp-media-import.md`","Done",,"Medium",,,"bex@sugartown.io","bex@sugartown.io","Media, Epic, CMS",,,,,"2026-03-25T12:15:53.161Z","2026-08-09T10:58:10.488Z","2026-03-25T14:17:35.138Z",,"2026-03-25T17:30:58.748Z",,,,,"",,,,"707144d7-92ca-4841-8743-43b4d7a6dea9",205546,"SUG-31",,
"SUG-33","Sugartown","Detail Page Hero & Metadata Refinement","Remove back-link from detail pages, make MetadataCard Type a link to archive, reposition DraftBadge to upper-right of metadata grid, support imageless heroes with dark text, add treatment-aware text glow/shadow for readability over image backgrounds. See `docs/backlog/SUG-33-detail-hero-metadata-refinement.md`.","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","Feature, Schema, Metadata, Media, Design System, CMS",,,,,"2026-03-25T14:19:53.856Z","2026-08-09T10:58:09.869Z","2026-03-25T14:23:23.741Z",,"2026-03-25T17:33:18.338Z",,,,,"",,,,"3f0e7fb2-dc11-4948-8e73-5d73c58809ee",205544,,,
"SUG-34","Sugartown","Table Authoring UX: @sanity/table plugin + HTML table migration","Replace the default array-of-objects Studio input for `tableBlock` (EPIC-0163) with a custom **spreadsheet-style grid input** that supports clipboard paste from Excel/Sheets/HTML. Migrate 26 legacy HTML `<table>` sections (from WordPress `htmlSection` blocks) into native `tableBlock` objects.

**Key finding:** `@sanity/table` plugin was evaluated and rejected — it provides a grid layout but has **no** `onPaste` handler (each cell is an independent `TextInput`). Building a custom input component gives us paste support + keeps our `variant` and `hasHeaderRow` fields.

**Two phases:**

1. **Custom input component** — `TableBlockInput.tsx` with grid UI, cell editing, Tab navigation, add/remove row/column, and clipboard paste (tab-delimited + HTML table parsing)
2. **HTML table migration** — parse `<table>` HTML from 26 `htmlSection` blocks, convert to `tableBlock` data in `textSection` content

**Affected content:** 1 article, 24 nodes, 1 page (all published, all from WordPress migration)

**Epic doc:** `docs/backlog/SUG-34-table-plugin-migration.md`","Done",,"Medium",,,"bex@sugartown.io","bex@sugartown.io","Epic, Content, Studio UX, Schema, CMS, Sanity",,,,,"2026-03-25T17:20:46.048Z","2026-08-09T11:00:44.004Z",,,"2026-03-30T12:20:40.030Z",,,,,"",,,,"c29f13bc-080b-415a-92be-3d4f0eedac4b",198657,,,
"SUG-35","Sugartown","Glossary: Term Definitions, Inline Annotations & Glossary Page","A glossary system that elevates terminology from passive tagging to active editorial infrastructure. Terms like ""headless CMS"" get first-class definitions, inline visual references in content (dotted-underline annotations with hover previews), a dedicated `/glossary` archive page, and individual SEO-optimized term pages.

Extends the MLA citation / library / knowledge graph theme — the glossary is the controlled vocabulary that underpins the entire taxonomy. Where citations reference *sources*, the glossary defines *language*.

**Epic doc:** `docs/backlog/SUG-35-glossary.md`

**Three surfaces:**

1. **Glossary archive page** (`/glossary`) — alphabetical listing with A-Z jump nav, `<dl>`/`<dt>`/`<dd>` semantics, DefinedTermSet structured data
2. **Glossary term pages** (`/glossary/:slug`) — individual definition pages with related terms, ""used in"" back-references, DefinedTerm [schema.org](<http://schema.org>) markup
3. **Inline glossary annotations** — new PortableText mark (`glossaryTermRef`) rendering as dotted-underline links in article/case study/node body content, with hover preview popover (progressive enhancement)

**Design questions to resolve:**

* Should glossary terms extend `tag` (add `definition` field) or be a new doc type? Recommend new type — tags are classification metadata, glossary terms are editorial definitions. Different purpose, different lifecycle.
* Relationship between glossary terms and knowledge graph nodes? Some nodes ARE terms (e.g. ""headless CMS"" might be both a glossary entry and a node). Cross-reference via explicit relation, don't merge the types.
* Hover preview: progressive enhancement. Link-to-page works without JS. Popover adds convenience. WCAG 1.4.13 compliance required (dismissible, hoverable, persistent).

**Not in scope:** Full-text search within glossary, glossary term suggestions/autocomplete in Studio, automatic term detection in content.","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","Epic, SEO, Content, Schema, UX, CMS",,,,,"2026-03-26T10:30:45.418Z","2026-08-09T10:58:09.416Z","2026-06-09T08:53:56.334Z",,"2026-06-10T14:28:42.971Z",,,,,"",,,,"ccfbd327-0f01-4d75-ae43-6574a8b8b360",94849,"SUG-159",,
"SUG-36","Sugartown","Site-wide content search","Design spike + implementation for site-wide content search. No search infrastructure exists today. Needs decisions on: search engine (Sanity text search API vs client-side index vs hosted service), scope (full-text vs title/tag), UI surface (nav bar, dedicated page, command palette), and content type coverage. High user value — design spike first.","Backlog",,"Low",,,"bex@sugartown.io","bex@sugartown.io","Infrastructure, CMS",,,,,"2026-03-26T14:21:09.002Z","2026-08-09T10:58:08.714Z",,,,,,,,"",,,,"9bafa0a0-08c3-4baa-a526-bf59fac5cc22",198570,,,
"SUG-37","Sugartown","Responsive mobile nav — hamburger + slide-out drawer with accordion submenus","## Problem

Below 768px the nav wraps to a second row via flex-wrap with all items and submenus visible. Eats half the viewport.

## Solution

Hamburger icon + slide-out drawer at mobile breakpoint:

1. Hamburger trigger replaces inline nav below 768px
2. Slide-out drawer from right, full viewport height, themed background
3. Large tap targets, full-width rows
4. Accordion submenus for About/Library with chevron rotation
5. CTA + theme toggle pinned to drawer bottom
6. Close via X button, overlay tap, Escape key
7. Focus trap + body scroll lock","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","UX, CMS",,,,,"2026-03-31T12:35:57.056Z","2026-08-09T10:58:09.830Z","2026-03-31T12:35:57.143Z",,"2026-03-31T13:13:04.835Z",,,,,"",,,,"e0c3cb71-f45d-4ce9-bc10-4db53b3ed462",197164,,,
"SUG-41","Sugartown","Storybook: Upgrade Storybook 9 → 10","## Follow-up from SUG-38

Storybook 10 (10.3.4) is the current latest. SUG-38 landed on 9.1.20. The jump from 9→10 introduces:

* **CSF Factories** — new story authoring pattern (optional, CSF3 still works)
* `storybook/blocks` resolution fix — likely resolves the MDX blocker we hit with pnpm strict hoisting
* **Performance improvements** — faster builds and HMR
* **Potential breaking changes** — addon API shifts, manager theme API may change

### Steps

1. Run `npx storybook@10 upgrade` from `apps/storybook`
2. Fix any config/addon breaking changes
3. Verify all 24+ story files still render
4. Test MDX blocks import (`storybook/blocks`) — if it resolves, unblocks the MDX docs issue
5. Update manager.ts theme if the theming API changed

### Risk

Low — 9→10 is a smaller jump than 7→9. Main risk is the manager theme API changing (our custom branding).

### Definition of Done

Storybook 10.x building and deploying with all stories rendering.","Done",,"Low",,,"bex@sugartown.io","bex@sugartown.io","Design System, Infrastructure",,,,,"2026-04-02T18:16:36.809Z","2026-08-09T10:56:21.304Z",,,"2026-04-03T10:54:17.408Z",,,,,"",,,,"2443ae50-8288-4958-a09d-b47d3ceccb24",192983,"SUG-38, SUG-45, SUG-46",,
"SUG-42","Sugartown","Badge DS primitive — extract from DraftBadge + Card statusBadge","## Problem

`DraftBadge.module.css` and Card's internal `.statusBadge` in `Card.module.css` are character-for-character the same CSS — same font stack, size, weight, tracking, padding, radius, border, and amber colorway. Two independent implementations of the same visual pattern.

## Proposed solution

Extract a `Badge` DS primitive (`packages/design-system/src/components/Badge/`) with:

* `color` variants: `amber` (draft), `green` (published/active), `pink` (featured), `grey` (archived)
* `size` variants: `sm`, `md`
* Polymorphic render: `<span>` by default

Then:

1. Card's internal `.statusBadge` consumes Badge
2. DraftBadge wraps Badge with draft-detection logic
3. Web adapter mirrors DS Badge with SPA extensions (if needed)

Follows the same three-layer pattern established by Chip (DS primitive → web adapter → data-aware orchestrator).

## Acceptance criteria

- [ ] `Badge` component in DS package with color/size props
- [ ] Card.tsx uses Badge for status/evolution display
- [ ] DraftBadge.jsx wraps Badge (no duplicate CSS)
- [ ] Storybook stories for Badge in isolation
- [ ] CSS parity between DS and web adapter verified","Done",,"Low",,,"bex@sugartown.io","bex@sugartown.io","Component, Design System",,,,,"2026-04-03T10:19:14.727Z","2026-08-09T10:56:19.356Z",,,"2026-04-03T12:33:03.652Z",,,,,"",,,,"3ea4923b-c1a5-4fee-9fc3-1b44ca19d406",192884,,,
"SUG-43","Sugartown","Pagination token migration — replace non-st- CSS custom properties","## Problem

`Pagination.module.css` uses `--color-border`, `--color-text`, `--color-accent` — these are NOT `--st-*` prefixed design system tokens. They may resolve to UA defaults or fallback values in some theme contexts, causing silent visual breakage.

## Proposed solution

Replace all three non-standard tokens with their `--st-*` equivalents:

* `--color-border` → `--st-color-border-default`
* `--color-text` → `--st-color-text-default`
* `--color-accent` → `--st-color-accent` or `--st-color-brand-primary`

Run `pnpm validate:tokens` after the change to confirm zero broken references.

## Acceptance criteria

- [ ] All CSS custom properties in `Pagination.module.css` use `--st-*` prefix
- [ ] `pnpm validate:tokens` passes with zero errors
- [ ] Visual QA confirms pagination renders correctly in both dark and light themes
- [ ] No non-`--st-` custom properties remain in the file","Done",,"Low",,,"bex@sugartown.io","bex@sugartown.io","Design System",,,,,"2026-04-03T10:19:20.777Z","2026-08-09T10:56:20.131Z",,,"2026-04-03T12:18:22.377Z",,,,,"",,,,"c1937e9c-7d27-4303-ae9b-604138177398",192899,,,
