﻿Group,Component,Description,ARIA APG,Pink Moon house,Material,Apple HIG,Carbon,Polaris,Bootstrap,Atlassian,Ant Design,Divergence,Pink Moon status,Pink Moon name,Note
Navigation,Anchor nav,Jump-links to sections within a long page,—,On-page nav,—,—,—,—,Scrollspy,—,Anchor,Contested,To codify,On-page nav — sidebar TOC,"ANNOTATION: used all over (PageSidebar TOC, in-page section jump-links) but not codified as its own component — owed a DS/Storybook story. Bootstrap's 'Scrollspy' names the behaviour; Ant calls the component 'Anchor'."
Navigation,Command palette,Keyboard-driven action/search launcher,—,Command palette,—,—,—,—,—,—,—,Contested,Not yet,,Ubiquitous in tools (⌘K) yet unnamed by every formal system audited.
Navigation,Toolbar,Container of grouped action controls,Toolbar,Toolbar,—,Toolbar,—,—,Button toolbar,—,—,Synonym,In system,Toolbar,"story: Patterns/Toolbar. Horizontal row of grouped filter/action controls (role=""group""). Renamed from FilterStrip — Toolbar IS the codified generic control-group primitive. FilterBar (facet sidebar) is a separate, more complex component. Dark mode: rgba(255,255,255,0.06) surface + white border — correct for an elevated control bar."
Overlays & Surfaces,Modal,"Focused window over a scrim, blocks page",Dialog (Modal),Dialog,Dialog,Sheet / Alert,Modal,Modal,Modal,Modal dialog,Modal,False friend,Not yet,,"'Sheet' is the trap: Apple's 'Sheet' is this modal, but Material's 'Sheet' is a slide-in panel. (Dialog vs Modal alone is just two words for one thing.)"
Overlays & Surfaces,Alert dialog,Modal demanding a yes/no decision,Alert Dialog,Confirm dialog,Dialog (basic),Alert,Modal (danger),Modal,Modal,Modal (warning),Modal.confirm,False friend,Not yet,,"True false friend: Apple's 'Alert' is THIS confirm dialog, but everyone else's 'Alert' is an inline page message — same word, two different components."
Overlays & Surfaces,Bottom sheet,Panel sliding up from the bottom edge,—,—,Bottom sheet,Sheet,—,—,Offcanvas (bottom),—,Drawer (bottom),Synonym,Not yet,,Apple's 'Sheet' covers any edge; Material reserves 'Bottom sheet' for the bottom.
Overlays & Surfaces,Drawer,Panel sliding in from a side edge,—,Side panel,Side sheet,—,—,—,Offcanvas,Drawer,Drawer,False friend,Not yet,,"'Drawer' = nav menu to some, slide-in panel to others. Material splits it as 'Side sheet'."
Overlays & Surfaces,Popover,Small overlay anchored to a trigger,—,Popover,—,Popover,Popover,Popover,Popover,Popup,Popover,Synonym,Not yet,,Near-aligned; Atlassian's 'Popup' is the only spelling that drifts.
Overlays & Surfaces,Tooltip,Tiny text label on hover/focus,Tooltip,Tooltip,Tooltip,Help tag / Tooltip,Tooltip,Tooltip,Tooltip,Tooltip,Tooltip,Aligned,Not yet,,Aligned across the board.
Overlays & Surfaces,Toast,"Transient, auto-dismissing message",—,Toast,Snackbar,—,Toast notification,Toast,Toast,Flag,message,Synonym,Not yet,,"Snackbar / Toast / Flag / Notification — four words, one transient message."
Overlays & Surfaces,Scrim,Dimmed layer behind an overlay,—,Scrim,Scrim,Dimming view,—,Backdrop,Backdrop,Blanket,—,Synonym,Not yet,,"Scrim / Backdrop / Blanket / Dimming view — same dark veil, four labels. Ours is a token/utility (used by ImageLightbox & modals), not a standalone component."
Overlays & Surfaces,Popper,Generic anchored floating layer primitive,—,—,Popper (MUI),—,—,—,—,Popup (Popper),—,Contested,Not yet,,A positioning primitive (Popper.js) surfacing as a named component in MUI/Atlassian.
Feedback & Status,Alert,Inline contextual message in the page flow,Alert,Callout,Banner,—,Inline notification,Banner,Alert,Section message,Alert,Synonym,In system,Callout,Alert / Banner / Inline notification / Section message — five words for the in-page message. ('Alert' is overloaded — see Confirm dialog.)
Feedback & Status,Badge,Small count or dot on an element,—,Badge,Badge,Badge,—,—,Badge,Badge,Badge,False friend,Not yet,,"'Badge' names two different things: a numeric count (Material/Apple/Bootstrap) vs a status label (Polaris). Atlassian keeps them apart — count = 'Badge', status = 'Lozenge'."
Feedback & Status,Status badge,Colour-coded status label,—,Status chip,—,—,Tag,Badge,Badge,Lozenge,Badge (status),False friend,In system,Status chip,"Polaris/Bootstrap 'Badge', Carbon 'Tag', Atlassian 'Lozenge' — one status pill, and 'Badge' collides with the numeric-count Badge (see above)."
Feedback & Status,Progress bar,Determinate linear completion track,—,Progress bar,Progress indicator,Progress view,Progress bar,Progress bar,Progress,Progress bar,Progress,Synonym,Not yet,,Material 'indicator' & Apple 'view' wrap both linear and circular under one name.
Feedback & Status,Spinner,Indeterminate loading indicator,—,Spinner,Progress indicator (circular),Activity indicator,Loading,Spinner,Spinner,Spinner,Spin,Synonym,Not yet,,"Spinner / Activity indicator / Loading / Circular progress — many words, one busy indicator."
Feedback & Status,Skeleton,Greyed placeholder shape during load,—,Skeleton,—,Redacted (Skeleton),Skeleton,Skeleton (Body text/Page),Placeholder,—,Skeleton,Synonym,In system,Skeleton — in Tile loading,story: Primitives/Skeleton. SUG-148.
Feedback & Status,Empty state,Zero-data illustration + guidance,—,Empty state,—,—,—,Empty state,—,Empty state,Empty,Contested,Not yet,,Only Polaris & Atlassian name it as a component; others treat it as a layout.
Feedback & Status,Meter,Gauge of a value within a known range,Meter,Meter,—,Gauge,—,—,—,—,—,Synonym,In system,Meter — inside Tile,story: Primitives/Meter. SUG-148.
Feedback & Status,Banner,Persistent page-level system message,—,Banner,Banner,—,Notification (inline),Banner,Alert,Banner,Alert (banner),Synonym,Diverges,Callout (banner),'Banner' is near-consistent for the page-level message; only Bootstrap still says 'Alert'.
Data Display,Data table,Rows × columns of structured data,Table,Table,Data table,Table,Data table,Index table,Table,Dynamic table,Table,Synonym,In system,Table,'Table' vs 'Data table' vs 'Index table' vs 'Dynamic table' — four framings of rows & columns. Ours: DS primitive 'Table' (registry · Primitives/Table).
Data Display,List,Vertical stack of homogeneous rows,Listbox,List,List,List,Structured list,Resource list,List group,—,List,Synonym,Not yet,,"List / List group / Resource list / Structured list — same rows, four names. No List primitive in our registry (CardGrid / Table cover list-like layouts)."
Data Display,List item,Single row within a list,Option,List item,List item,—,—,Resource item,List group item,—,List.Item,Synonym,Not yet,,Naming tracks whatever the parent list is called.
Data Display,Card,Self-contained content container,—,Card,Card,—,Tile,Card,Card,Card,Card,Synonym,In system,Card,Re-codified SUG-149. Variants: default/elevated/listing/metadata/accent.
Data Display,Tile,"Square content/metric block, often a grid",—,Card (variant at most),—,—,Tile,—,—,—,—,False friend,Deprecated,Tile → fold into Card,Deprecated SUG-149. console.warn on import. Retained: 8 active call-sites use href/bar/loading/titleSize API not covered by StatCard or Card+Metric. Full migration is a follow-on epic. story: Legacy/Tile.
Data Display,Accordion,Expandable header revealing content,Accordion,Accordion,—,Disclosure group,Accordion,Collapsible,Accordion,—,Collapse,Synonym,In system,Accordion,Accordion / Expansion panel / Disclosure group / Collapsible all expand-collapse content. Ours: DS primitive 'Accordion' (accordionSection).
Data Display,Disclosure,Single show/hide toggle of content,Disclosure,Disclosure,—,Disclosure,—,Collapsible,Collapse,Expand,Collapse,Synonym,Not yet,,Disclosure / Collapse / Collapsible / Expand — the single-panel cousin of Accordion.
Data Display,Tree view,Hierarchical expandable node list,Tree View,Tree,—,Outline group,Tree view,—,—,—,Tree,Synonym,Not yet,,Apple's 'Outline' vs everyone's 'Tree'; sparse support overall.
Data Display,Avatar,Circular user/entity image or initials,—,Avatar,Avatar (MUI),—,—,Avatar,—,Avatar,Avatar,Aligned,In system,Avatar — person pages,story: Primitives/Avatar. SUG-148.
Data Display,Avatar group,Overlapping cluster of avatars,—,Avatar group,AvatarGroup (MUI),—,—,—,—,AvatarGroup,Avatar.Group,Aligned,Not yet,,'Avatar group' is consistent — but only two systems formalise it.
Data Display,Timeline,Vertical sequence of dated events,—,Timeline,—,—,—,—,—,—,Timeline,Contested,Not yet,,Ant names it 'Timeline'; still absent from the other six systems.
Data Display,Carousel,Rotating set of slides/items,Carousel,Carousel,Carousel,—,—,—,Carousel,—,Carousel,Aligned,To codify,Carousel — page builder,"ANNOTATION: already shipped in Studio/Web as a page-builder section, but not codified in the DS or Storybook. Names are aligned industry-wide ('Carousel'); Apple uses paged scroll + Page control."
Data Display,Gallery,Grid of images / media tiles,—,Gallery,Image list,—,—,—,—,—,Image.PreviewGroup,Contested,To codify,Gallery — page builder,"ANNOTATION: lives in Studio/Web page-builder sections, not yet codified in the DS or Storybook. Barely named elsewhere — Material's is 'Image list', Ant groups previews under 'Image'."
Data Display,Thumbnail,Small fixed-size preview image,—,Thumbnail,—,—,—,Thumbnail,—,Image,Image,Synonym,Not yet,,Mostly just an 'Image'; Polaris formalises the small variant as 'Thumbnail'.
Data Display,Code block,Formatted block of source code,—,Code block,—,—,Code snippet,—,—,Code block,—,Synonym,In system,Code block,Carbon's 'Code snippet' vs the more common 'Code block'.
Data Display,Description list,Key/value paired descriptions,—,Description list,—,—,—,Description list,Description list,—,Descriptions,Synonym,In system,,story: Primitives/DescriptionList. SUG-148.
Data Display,Data grid,Editable spreadsheet-grade data grid,Grid,Table (editable mode),Data grid (MUI),—,—,—,—,—,Table,False friend,Not yet,,"DECISION: collapses into Table — a capability tier (display → sortable → editable/virtualized), not a separate component. Industry only splits it out for heavy engines (MUI DataGrid, AG Grid). Avoid the name 'Data grid': 'Grid' is a false friend with the CSS layout Grid and the ARIA grid role. The Table primitive is in system; an editable mode isn't built — add it as a Table variant (role=table read-only → role=grid editable), never a 'DataGrid'."
Data Display,Statistic,Large single figure with label/trend,—,Metric,—,—,—,—,—,—,Statistic,Contested,In system,Metric — in Tile,Pink Moon name: Metric. story: Primitives/Metric. SUG-148.
Layout & Containers,Grid,Two-dimensional layout system,Grid,Grid,Grid,Grid / LazyVGrid,Grid,Grid,Grid,Grid,Grid (Row/Col),False friend,In system,Grid,"Everyone agrees on 'Grid' for layout — but ARIA 'Grid' is an interactive widget, not layout. Ours: DS primitive 'Grid'."
Layout & Containers,Stack,One-axis spacing container,—,Stack,Stack (MUI),VStack / HStack,Stack,Stack / BlockStack / InlineStack,Stack,Stack,Space,Aligned,In system,Stack — absorbs Flex,story: Primitives/Layout/Stack. SUG-149.
Layout & Containers,Container,Width-constraining centred wrapper,—,Container,Container (MUI),—,—,—,Container,—,Layout.Content,Synonym,In system,Container — standalone,story: Primitives/Layout/Container. SUG-149.
Layout & Containers,Box,Unstyled layout/style primitive,—,Box,Box (MUI),—,—,Box,—,Box,—,Aligned,In system,Box — in content layouts,story: Primitives/Layout/Box. SUG-148.
Layout & Containers,Spacer,Fixed-gap inserter between elements,—,Spacer,—,Spacer,—,—,—,—,—,Contested,Not yet,,"DECISION: not a component for us. SwiftUI/Chakra ship a 'Spacer' component, but we handle spacing as a FOUNDATION — the --st-space-* token scale (foundations/token-reference), consumed via gap/margin. Intentionally absent: spacing tokens ≠ a Spacer component (same don't-conflate-tokens-with-components rule that caught Slider)."
Layout & Containers,Divider,Horizontal/vertical rule between content,Separator,Divider,Divider,Divider,—,Divider,—,—,Divider,Synonym,To codify,Divider — in PT modules,"'Divider' (UI) vs 'Separator' (ARIA role); Bootstrap just uses <hr>. POSITION: rendered inside PortableText modules & PT-containing sections, but not factored out — today it's the --st-margin-divider rule. FUTURE STATE: codify a 'Divider' primitive (role=separator) that the PT renderer composes (law 02)."
Layout & Containers,Page,Top-level routed screen wrapper,—,Page,—,—,—,Page,—,Page,—,Synonym,In system,Page — composes Container,story: Primitives/Layout/Page. SUG-149.
Layout & Containers,App shell,App frame: header + nav + content regions,—,App shell,—,—,UI shell,Frame,—,Page layout,Layout,Synonym,In system,Shell — in content layouts,story: Primitives/Layout/AppShell. SUG-149.
Layout & Containers,Panel,Generic bordered content region,—,Panel,—,—,—,—,—,Panel,—,False friend,To codify,Panel — disambiguate,"'Panel' is wildly overloaded (side panel, tab panel, expansion panel, surface). POSITION: generic bordered regions repeated across content layouts. FUTURE STATE: codify — but name by role (Surface / Card / labelled Region), not the vague 'Panel'; audit usages for drift."
Layout & Containers,Surface,Elevated background surface token,—,Surface,Surface,—,Layer,—,—,Surface,—,Synonym,In system,Surface — in content layouts,story: Primitives/Layout/Surface. SUG-149.
Layout & Containers,Flex,Flexbox layout wrapper,—,Stack (folded in),—,—,FlexGrid,InlineStack,Flex (utilities),Flex,Flex,Synonym,Synonym,,"Not a standalone primitive. Use Stack with direction=""horizontal""."
Primitives & Utilities,Icon,"Vector glyph, inherits colour & size",—,Icon,Icon,Image (SF Symbol),Icon,Icon,Icon (Bootstrap Icons),Icon,Icon,Aligned,Not yet,,Aligned on 'Icon'; Apple routes glyphs through SF Symbols + Image. We consume lucide-react directly — no Icon wrapper primitive.
Primitives & Utilities,Portal,Renders children into a different DOM node,—,Portal,Portal (MUI),—,—,Portal,—,Portal,—,Aligned,Not yet,,A React-era primitive; consistently 'Portal' where exposed.
Primitives & Utilities,Visually hidden,Content visible only to screen readers,—,Visually hidden,Visually hidden,Accessibility hidden,—,Visually hidden,Visually hidden,Visually hidden,—,Aligned,Not yet,,Near-aligned; older code still says 'sr-only'.
Primitives & Utilities,Aspect ratio,Maintains a fixed width:height ratio,—,Aspect ratio,—,—,Aspect ratio,—,Ratio,—,—,Synonym,Not yet,,Bootstrap's 'Ratio' vs the longer 'Aspect ratio' elsewhere.
Primitives & Utilities,Scroll area,Custom-styled scrollable region,—,Scroll area,—,Scroll view,—,Scrollable,—,—,—,Synonym,Not yet,,Scroll area (Radix) / Scroll view (Apple) / Scrollable (Polaris).
Primitives & Utilities,Label,Text caption labelling a control,—,Label,—,Label,—,Label,Form label,Label,Form label,False friend,In system,Form label — in ContactForm,story: Primitives/Label. SUG-148. Form label — not SectionLabel.
Primitives & Utilities,Keyboard key,Keyboard key visual,—,Kbd,—,—,—,Keyboard key,Kbd,—,—,Synonym,Not yet,,Tracks the <kbd> element; 'Kbd' vs 'Keyboard key'.
Primitives & Utilities,Truncate,Truncates overflow text with ellipsis,—,Truncate,—,—,—,Truncate,Text truncation,—,Typography (ellipsis),Synonym,To codify,Truncate — card excerpts,"A utility more than a component; named inconsistently. POSITION: card excerpts truncate with ellipsis/line-clamp, ad hoc. FUTURE STATE: codify a 'Truncate' utility/primitive (line-clamp + ellipsis) that Card and PT compose."
Primitives & Utilities,Overflow menu,Reveals overflowing actions in a menu,Menu,Overflow menu,—,—,Overflow menu,—,—,—,Dropdown,Synonym,To codify,Overflow — card tag chips,"The '⋯' menu; Carbon names it, most fold it into Menu/Dropdown. POSITION: cards overflow their tag chips to a '+N more' indicator, ad hoc. NOTE: that chip-overflow ('+N') is distinct from this action-overflow ('⋯') menu — likely two primitives (an overflow indicator vs a Menu). FUTURE STATE: codify both; have Card compose the chip-overflow one."
Primitives & Utilities,Page control,Numbered/dotted index of carousel position,—,—,—,Page control,—,—,Carousel indicators,—,Carousel dots,Synonym,To codify,Page control — with Carousel,Apple 'Page control' vs Bootstrap 'Carousel indicators' for the same dots. POSITION: ships inside the Carousel page-builder section but isn't factored out. FUTURE STATE: codify a 'Page control' primitive (role-appropriate dots/index) that the Carousel composes (law 02).
